week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
233,47.61428571,46.21428571,47.85714286,45.0,47.0,47.0,48.57142857,46.14285714,46.71428571,46.85714286
234,39.98571429,39.15714286,44.85714286,40.57142857,44.14285714,45.14285714,45.0,41.28571429,43.57142857,44.71428571
235,38.52857143,37.52857143,42.85714286,38.85714286,41.14285714,42.28571429,43.42857143,39.42857143,41.0,42.28571429
236,30.55714286,31.25,41.5,36.5,39.16666667,41.16666667,41.25,35.75,39.0,41.0
237,29.18,27.73333333,40.33333333,35.83333333,37.66666667,39.5,40.25,36.0,38.0,39.5
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,19.75,20.0,33.0,,,,33.25,,,
263,28.71428571,25.85714286,33.14285714,,,,33.16666667,,,
264,38.85714286,37.85714286,35.42857143,,,,35.66666667,,,
265,29.5,27.42857143,36.0,,,,36.0,,,
266,34.28571429,31.57142857,36.0,32.0,31.0,32.0,36.0,32.0,31.0,32.0
267,53.85714286,51.0,36.14285714,32.14285714,31.0,32.0,36.71428571,32.42857143,31.0,32.0
